E,H,C,timestamp
4.289802979,8.536892434,0.117860413,734110.1146
4.20861195,8.517100047,0.117868444,734110.125
4.195004635,8.593445701,0.117876475,734110.1354
4.302387349,8.669791355,0.117884506,734110.1458
4.28937422,8.746137009,0.117892537,734110.1563
4.274818929,8.822482663,0.117900568,734110.1667
4.245749168,9.176729564,0.117908599,734110.1771
4.305577741,9.530976461,0.11791663,734110.1875
4.306938473,9.885223359,0.117924661,734110.1979
4.313288553,10.23947026,0.117932692,734110.2083
4.295599044,11.10489182,0.117940723,734110.2188
4.30421701,11.97031339,0.117948754,734110.2292
4.292424004,12.83573496,0.117956785,734110.2396
4.301949124,13.70115652,0.117964816,734110.25
4.313288553,14.04544852,0.117972847,734110.2604
4.319185056,14.38974053,0.117980878,734110.2708
4.291516849,14.73403253,0.117988909,734110.2813
4.316463593,15.07832453,0.11799694,734110.2917
4.301949124,14.74005231,0.118004971,734110.3021
4.311020667,14.40178008,0.118013002,734110.3125
4.300134815,14.06350785,0.118021033,734110.3229
4.300588392,13.72523562,0.118029064,734110.3333
4.34451734,13.15127432,0.118037095,734110.3438
4.2285878,12.57731302,0.118045126,734110.3542
4.11265826,12.00335171,0.118053157,734110.3646
4.107342336,11.42939041,0.118061188,734110.375
4.128247707,10.83967421,0.118069219,734110.3854
4.271304431,10.24995801,0.11807725,734110.3958
4.187742726,9.660241805,0.118085281,734110.4063
4.104181022,9.070525606,0.118093312,734110.4167
4.020619318,9.091519641,0.118101343,734110.4271
4.056531744,9.112513676,0.118109374,734110.4375
4.068025389,9.133507711,0.118117405,734110.4479
4.082051809,9.154501747,0.118125436,734110.4583
4.08813337,9.303304484,0.118133467,734110.4688
3.908650229,9.452107222,0.118141497,734110.4792
3.962488024,9.600909961,0.118149528,734110.4896
4.032724857,9.749712698,0.118157559,734110.5
4.087858635,9.581147028,0.11816559,734110.5104
4.12957869,9.412581356,0.118173621,734110.5208
4.234130879,9.244015686,0.118181652,734110.5313
4.338683064,9.075450015,0.118189683,734110.5417
4.443235251,8.887083512,0.118197714,734110.5521
4.54778744,8.69871701,0.118205745,734110.5625
4.652339626,8.510350509,0.118213776,734110.5729
4.756891813,8.321984005,0.118221807,734110.5833
4.858661358,8.47347799,0.118229838,734110.5938
4.960430901,8.624971974,0.118237869,734110.6042
5.062200446,8.776465961,0.1182459,734110.6146
5.064094584,8.927959945,0.118253931,734110.625
5.065988722,9.062949495,0.118261962,734110.6354
5.067882861,9.197939046,0.118269993,734110.6458
5.027645514,9.332928596,0.118278024,734110.6563
4.987408168,9.467918145,0.118286055,734110.6667
5.020473267,9.549865862,0.118294086,734110.6771
5.029165373,9.631813577,0.118302117,734110.6875
5.037857479,9.713761293,0.118310148,734110.6979
5.046549584,9.795709009,0.118318179,734110.7083
4.992344278,9.941855721,0.11832621,734110.7188
4.959713767,10.08800243,0.118334241,734110.7292
4.938686185,10.23414915,0.118342272,734110.7396
4.953255494,10.38029586,0.118350303,734110.75
4.954682214,10.42641534,0.118358334,734110.7604
4.884460932,10.47253482,0.118366365,734110.7708
4.828869464,10.51865431,0.118374396,734110.7813
4.823881236,10.56477379,0.118382427,734110.7917
4.818872673,10.5060129,0.118390458,734110.8021
4.813027959,10.44725201,0.118398489,734110.8125
4.798971364,10.38849112,0.11840652,734110.8229
4.82199849,10.32973023,0.118414551,734110.8333
4.712100516,10.30929809,0.118422582,734110.8438
4.602202544,10.28886595,0.118430613,734110.8542
4.709019967,10.26843381,0.118438644,734110.8646
4.727389844,10.24800167,0.118446675,734110.875
4.880774133,9.72643751,0.118454706,734110.8854
5.034158424,9.20487334,0.118462737,734110.8958
5.062421386,8.683309176,0.118470768,734110.9063
5.056071306,8.161745011,0.118478799,734110.9167
5.022727063,8.052421177,0.11848683,734110.9271
5.030437874,7.943097343,0.118494861,734110.9375
5.023861005,7.83377351,0.118502892,734110.9479
5.040643361,7.724449675,0.118510923,734110.9583
4.831032224,7.785901811,0.118518954,734110.9688
4.848948522,7.847353947,0.118526985,734110.9792
4.826269664,7.908806083,0.118535016,734110.9896
4.82695003,7.970258219,0.118543047,734111
4.82536251,8.042751554,0.118551078,734111.0104
4.965064276,8.11524489,0.118559109,734111.0208
4.834637101,8.187738225,0.11856714,734111.0313
4.704209928,8.26023156,0.118575171,734111.0417
4.573782754,8.393210193,0.118583202,734111.0521
4.443355578,8.526188825,0.118591233,734111.0625
4.312928405,8.659167457,0.118599264,734111.0729
4.182501231,8.79214609,0.118607295,734111.0833
4.052074055,8.999361004,0.118615326,734111.0938
3.921646883,9.206575917,0.118623357,734111.1042
3.791219708,9.413790833,0.118631387,734111.1146
3.770808736,9.621005746,0.118639418,734111.125
3.779426702,9.853107384,0.118647449,734111.1354
3.791219708,10.08520902,0.11865548,734111.1458
3.88081936,10.31731066,0.118663511,734111.1563
3.902591063,10.5494123,0.118671542,734111.1667
4.195558408,10.36830244,0.118679573,734111.1771
4.488525747,10.18719259,0.118687604,734111.1875
3.935703203,10.00608273,0.118695635,734111.1979
3.940238974,9.824972873,0.118703666,734111.2083
3.952031982,10.8525498,0.118711697,734111.2188
4.016657007,11.88012674,0.118719728,734111.2292
4.1281561,12.90770368,0.118727759,734111.2396
3.980374844,13.93528061,0.11873579,734111.25
3.965860375,14.51024336,0.118743821,734111.2604
3.842208381,15.08520611,0.118751852,734111.2708
3.718556387,15.66016885,0.118759883,734111.2813
3.594904395,16.23513159,0.118767914,734111.2917
3.544613374,15.48574962,0.118775945,734111.3021
3.511683648,14.73636765,0.118783976,734111.3125
3.509415762,13.98698568,0.118792007,734111.3229
3.35848427,13.23760371,0.118800038,734111.3333
3.542803285,12.68757959,0.118808069,734111.3438
3.535306936,12.13755548,0.1188161,734111.3542
3.57013423,11.58753136,0.118824131,734111.3646
3.829376519,11.03750725,0.118832162,734111.375
3.980244978,10.87752613,0.118840193,734111.3854
4.014292438,10.71754501,0.118848224,734111.3958
4.023853503,10.5575639,0.118856255,734111.4063
3.766360955,10.39758279,0.118864286,734111.4167
3.750538369,10.39789422,0.118872317,734111.4271
3.695065881,10.39820565,0.118880348,734111.4375
3.684914825,10.39851708,0.118888379,734111.4479
3.838694674,10.39882851,0.11889641,734111.4583
3.99247452,10.13459833,0.118904441,734111.4688
3.761981214,9.870368155,0.118912472,734111.4792
3.632520239,9.606137974,0.118920503,734111.4896
3.602121501,9.341907796,0.118928534,734111.5
3.869866895,9.319459589,0.118936565,734111.5104
3.725323679,9.297011382,0.118944596,734111.5208
3.842465651,9.274563175,0.118952627,734111.5313
3.923669016,9.252114968,0.118960658,734111.5417
4.21113505,9.278903857,0.118968689,734111.5521
4.259730262,9.305692745,0.11897672,734111.5625
4.294625005,9.332481633,0.118984751,734111.5729
4.476852831,9.359270522,0.118992782,734111.5833
4.461237905,9.453301455,0.119000813,734111.5938
4.370269844,9.547332389,0.119008844,734111.6042
4.343423983,9.641363324,0.119016875,734111.6146
4.444815526,9.735394258,0.119024906,734111.625
4.546207066,9.952354386,0.119032937,734111.6354
4.647598608,10.16931452,0.119040968,734111.6458
4.748990151,10.38627465,0.119048999,734111.6563
4.850381692,10.60323477,0.11905703,734111.6667
4.951773233,10.53589056,0.119065061,734111.6771
5.053164776,10.46854636,0.119073092,734111.6875
5.154556317,10.40120215,0.119081123,734111.6979
5.255947859,10.33385794,0.119089154,734111.7083
5.264790541,10.06058327,0.119097185,734111.7188
5.234722004,9.787308595,0.119105216,734111.7292
5.300811484,9.51403392,0.119113247,734111.7396
5.212060947,9.240759248,0.119121278,734111.75
5.154255061,9.199274164,0.119129308,734111.7604
5.096449176,9.15778908,0.119137339,734111.7708
4.981263214,9.116303997,0.11914537,734111.7813
4.930671143,9.074818913,0.119153401,734111.7917
4.912709002,9.022561425,0.119161432,734111.8021
5.020777147,8.970303938,0.119169463,734111.8125
5.128845291,8.91804645,0.119177494,734111.8229
5.236913436,8.865788963,0.119185525,734111.8333
5.34498158,8.86248721,0.119193556,734111.8438
5.331785041,8.859185458,0.119201587,734111.8542
5.536303898,8.855883706,0.119209618,734111.8646
5.565069568,8.852581954,0.119217649,734111.875
5.614816299,8.659954688,0.11922568,734111.8854
5.631024436,8.46732742,0.119233711,734111.8958
5.639751681,8.274700154,0.119241742,734111.9063
5.631648872,8.082072889,0.119249773,734111.9167
5.58917913,8.100144163,0.119257804,734111.9271
5.572850352,8.118215437,0.119265835,734111.9375
5.581608278,8.136286711,0.119273866,734111.9479
5.462407623,8.154357985,0.119281897,734111.9583
5.445852057,8.130617501,0.119289928,734111.9688
5.463087989,8.106877018,0.119297959,734111.9792
5.409033006,8.083136535,0.11930599,734111.9896
5.388168456,8.059396051,0.119314021,734112
5.397308416,8.159536359,0.119322052,734112.0104
5.199091933,8.259676668,0.119330083,734112.0208
5.463980995,8.359816976,0.119338114,734112.0313
5.233500666,8.459957284,0.119346145,734112.0417
5.003020334,8.470886846,0.119354176,734112.0521
4.77254,8.481816408,0.119362207,734112.0625
4.542059671,8.492745969,0.119370238,734112.0729
4.332413472,8.503675531,0.119378269,734112.0833
4.45536815,8.614663423,0.1193863,734112.0938
4.464439694,8.725651315,0.119394331,734112.1042
4.470789774,8.836639208,0.119402362,734112.1146
4.460811076,8.947627101,0.119410393,734112.125
4.44266799,9.011656375,0.119418424,734112.1354
4.448564493,9.075685649,0.119426455,734112.1458
4.454914573,9.139714923,0.119434486,734112.1563
4.46670758,9.203744197,0.119442517,734112.1667
4.463078962,9.289200051,0.119450548,734112.1771
4.46489327,9.374655904,0.119458579,734112.1875
4.373373452,9.460111757,0.11946661,734112.1979
4.281853632,9.54556761,0.119474641,734112.2083
4.190333812,10.52071445,0.119482672,734112.2188
4.098813994,11.49586129,0.119490703,734112.2292
4.007294174,12.47100814,0.119498734,734112.2396
4.038590998,13.44615498,0.119506765,734112.25
3.990965397,13.7566964,0.119514796,734112.2604
3.917939473,14.06723782,0.119522827,734112.2708
3.904332156,14.37777925,0.119530858,734112.2813
3.732073747,14.68832067,0.119538889,734112.2917
3.759288377,14.58195029,0.11954692,734112.3021
3.608247181,14.4755799,0.119554951,734112.3125
3.571053853,14.36920952,0.119562982,734112.3229
3.679278017,14.26283914,0.119571013,734112.3333
3.787502181,13.80197284,0.119579044,734112.3438
3.895726343,13.34110653,0.119587075,734112.3542
3.906158618,12.88024022,0.119595106,734112.3646
3.901169269,12.41937392,0.119603137,734112.375
3.896633498,12.23897776,0.119611168,734112.3854
3.890736994,12.0585816,0.119619198,734112.3958
3.911147967,11.87818544,0.119627229,734112.4063
3.926473432,11.69778928,0.11963526,734112.4167
3.902212497,11.64864941,0.119643291,734112.4271
3.928463731,11.59950953,0.119651322,734112.4375
4.120084773,11.55036966,0.119659353,734112.4479
4.311705817,11.50122978,0.119667384,734112.4583
4.503326863,11.42958712,0.119675415,734112.4688
4.758736162,11.35794445,0.119683446,734112.4792
4.779582569,11.28630178,0.119691477,734112.4896
4.811400099,11.21465912,0.119699508,734112.5
4.790402676,11.26925193,0.119707539,734112.5104
4.769405252,11.32384475,0.11971557,734112.5208
4.748407828,11.37843756,0.119723601,734112.5313
4.727410404,11.43303037,0.119731632,734112.5417
4.70641298,11.40668721,0.119739663,734112.5521
4.814548406,11.38034405,0.119747694,734112.5625
4.922683828,11.35400089,0.119755725,734112.5729
5.030819252,11.32765772,0.119763756,734112.5833
5.138954678,11.29734463,0.119771787,734112.5938
5.247090101,11.26703154,0.119779818,734112.6042
5.355225525,11.23671845,0.119787849,734112.6146
5.449026756,11.20640536,0.11979588,734112.625
5.380888212,11.31569747,0.119803911,734112.6354
5.312749667,11.42498959,0.119811942,734112.6458
5.297490508,11.5342817,0.119819973,734112.6563
5.179417612,11.64357381,0.119828004,734112.6667
5.29972191,11.59318244,0.119836035,734112.6771
5.340189023,11.54279108,0.119844066,734112.6875
5.330468886,11.49239971,0.119852097,734112.6979
5.415632364,11.44200834,0.119860128,734112.7083
5.335639608,11.31041487,0.119868159,734112.7188
5.258637974,11.17882141,0.11987619,734112.7292
5.363237908,11.04722795,0.119884221,734112.7396
5.305127643,10.91563449,0.119892252,734112.75
5.327723667,10.97207282,0.119900283,734112.7604
5.174000119,11.02851116,0.119908314,734112.7708
5.341259796,11.08494949,0.119916345,734112.7813
5.498852612,11.14138782,0.119924376,734112.7917
5.52202796,11.16413593,0.119932407,734112.8021
5.344973038,11.18688403,0.119940438,734112.8125
5.444056061,11.20963214,0.119948469,734112.8229
5.650377484,11.23238024,0.1199565,734112.8333
5.683359065,11.09646752,0.119964531,734112.8438
5.784153265,10.9605548,0.119972562,734112.8542
5.845398656,10.82464207,0.119980593,734112.8646
5.783712161,10.68872935,0.119988624,734112.875
