Record,HOUR,SEASON,REGIME,HOUR_SEASON_REGIME_Intercept,HOUR_SEASON_REGIME_Factor
0,1,Spring,Cool,-149652,1245
1,1,Spring,Heat,-34392,-818
2,1,Summer,NA,-131968,1081
3,1,Fall,Cool,-124130,874
4,1,Fall,Heat,-27203,-954
5,1,Winter,NA,-1852,-1477
6,2,Spring,Cool,-142988,1086
7,2,Spring,Heat,-31372,-932
8,2,Summer,NA,-126688,944
9,2,Fall,Cool,-122883,811
10,2,Fall,Heat,-25943,-1024
11,2,Winter,NA,-188,-1557
12,3,Spring,Cool,-138252,992
13,3,Spring,Heat,-29081,-1007
14,3,Summer,NA,-121841,843
15,3,Fall,Cool,-112887,631
16,3,Fall,Heat,-23465,-1101
17,3,Winter,NA,3295,-1641
18,4,Spring,Cool,-149396,1175
19,4,Spring,Heat,-25538,-1072
20,4,Summer,NA,-115636,737
21,4,Fall,Cool,-115148,657
22,4,Fall,Heat,-19741,-1162
23,4,Winter,NA,8626,-1712
24,5,Spring,Cool,-136063,977
25,5,Spring,Heat,-14201,-1247
26,5,Summer,NA,-114011,726
27,5,Fall,Cool,-118325,743
28,5,Fall,Heat,-8144,-1348
29,5,Winter,NA,17847,-1803
30,6,Spring,Cool,-97348,365
31,6,Spring,Heat,6257,-1497
32,6,Summer,NA,-109584,660
33,6,Fall,Cool,-105047,612
34,6,Fall,Heat,6052,-1501
35,6,Winter,NA,29707,-1847
36,7,Spring,Cool,-54845,-178
37,7,Spring,Heat,33539,-1777
38,7,Summer,NA,-101447,581
39,7,Fall,Cool,-91533,465
40,7,Fall,Heat,22052,-1618
41,7,Winter,NA,41432,-1898
42,8,Spring,Cool,-57767,-24
43,8,Spring,Heat,46722,-1836
44,8,Summer,NA,-100225,640
45,8,Fall,Cool,-85241,410
46,8,Fall,Heat,29349,-1596
47,8,Winter,NA,47070,-1913
48,9,Spring,Cool,-61391,77
49,9,Spring,Heat,36055,-1570
50,9,Summer,NA,-108147,802
51,9,Fall,Cool,-86269,453
52,9,Fall,Heat,28127,-1514
53,9,Winter,NA,45690,-1852
54,10,Spring,Cool,-64123,148
55,10,Spring,Heat,22501,-1315
56,10,Summer,NA,-117944,966
57,10,Fall,Cool,-86623,485
58,10,Fall,Heat,24430,-1424
59,10,Winter,NA,42484,-1776
60,11,Spring,Cool,-71313,274
61,11,Spring,Heat,11830,-1125
62,11,Summer,NA,-128240,1131
63,11,Fall,Cool,-88484,537
64,11,Fall,Heat,22989,-1406
65,11,Winter,NA,36535,-1635
66,12,Spring,Cool,-80831,411
67,12,Spring,Heat,7198,-1072
68,12,Summer,NA,-139864,1288
69,12,Fall,Cool,-103026,746
70,12,Fall,Heat,20709,-1379
71,12,Winter,NA,31963,-1561
72,13,Spring,Cool,-88095,512
73,13,Spring,Heat,4499,-1061
74,13,Summer,NA,-151234,1446
75,13,Fall,Cool,-112251,879
76,13,Fall,Heat,18836,-1375
77,13,Winter,NA,27314,-1492
78,14,Spring,Cool,-99170,664
79,14,Spring,Heat,-3317,-946
80,14,Summer,NA,-164503,1628
81,14,Fall,Cool,-124095,1048
82,14,Fall,Heat,15717,-1342
83,14,Winter,NA,24360,-1463
84,15,Spring,Cool,-106954,776
85,15,Spring,Heat,-4613,-960
86,15,Summer,NA,-175312,1778
87,15,Fall,Cool,-133986,1196
88,15,Fall,Heat,17495,-1422
89,15,Winter,NA,24628,-1504
90,16,Spring,Cool,-116071,917
91,16,Spring,Heat,-6654,-932
92,16,Summer,NA,-179354,1858
93,16,Fall,Cool,-143246,1349
94,16,Fall,Heat,19348,-1464
95,16,Winter,NA,27482,-1573
96,17,Spring,Cool,-123134,1043
97,17,Spring,Heat,-5856,-953
98,17,Summer,NA,-179156,1897
99,17,Fall,Cool,-149022,1474
100,17,Fall,Heat,24897,-1552
101,17,Winter,NA,34376,-1692
102,18,Spring,Cool,-128790,1158
103,18,Spring,Heat,-5994,-955
104,18,Summer,NA,-169346,1833
105,18,Fall,Cool,-147953,1540
106,18,Fall,Heat,30195,-1634
107,18,Winter,NA,39201,-1738
108,19,Spring,Cool,-142610,1398
109,19,Spring,Heat,-10283,-880
110,19,Summer,NA,-159736,1760
111,19,Fall,Cool,-155677,1709
112,19,Fall,Heat,16822,-1322
113,19,Winter,NA,34514,-1625
114,20,Spring,Cool,-145600,1502
115,20,Spring,Heat,-5448,-970
116,20,Summer,NA,-160091,1825
117,20,Fall,Cool,-145741,1600
118,20,Fall,Heat,9838,-1201
119,20,Winter,NA,31034,-1596
120,21,Spring,Cool,-135428,1378
121,21,Spring,Heat,-9947,-857
122,21,Summer,NA,-154202,1753
123,21,Fall,Cool,-143342,1562
124,21,Fall,Heat,5620,-1181
125,21,Winter,NA,27478,-1580
126,22,Spring,Cool,-137880,1405
127,22,Spring,Heat,-20245,-716
128,22,Summer,NA,-144872,1605
129,22,Fall,Cool,-137881,1393
130,22,Fall,Heat,-2343,-1119
131,22,Winter,NA,20783,-1555
132,23,Spring,Cool,-135120,1239
133,23,Spring,Heat,-27681,-716
134,23,Summer,NA,-139164,1408
135,23,Fall,Cool,-131328,1165
136,23,Fall,Heat,-12468,-1056
137,23,Winter,NA,8443,-1457
138,24,Spring,Cool,-145155,1261
139,24,Spring,Heat,-33778,-735
140,24,Summer,NA,-138392,1271
141,24,Fall,Cool,-128342,1009
142,24,Fall,Heat,-21707,-987
143,24,Winter,NA,3295,-1418
,,,,,
