E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
2,2019-09-09 19:35:48.912680,20190909T120000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T120000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T120000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T120000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T130000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T130000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T130000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T130000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T140000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T140000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T140000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T140000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T150000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T150000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T150000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T150000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T160000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T160000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T160000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T160000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T170000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T170000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T170000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T170000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T180000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T180000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T180000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.912680,20190909T180000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T190000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T190000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T190000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T190000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T200000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T200000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T200000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T200000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T210000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T210000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T210000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T210000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T220000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T220000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T220000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T220000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T230000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T230000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T230000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190909T230000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190910T000000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190910T000000,1,0.038161644399506825,0.0,-1509.7351485896413,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190910T000000,2,inf,0.0,-9.735148589641085,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190910T000000,3,0.038161644499506826,0.0,-9.735148589641312,0.0,0.0,0.0,0.0,0.0
2,2019-09-09 19:35:48.928299,20190910T010000,0,0.038161644399506825,0.0,-1509.7351485896331,0.0,0.0,0.0,0.0,0.0
