E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2019-09-05 20:41:27.501050,20190905T130000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.501050,20190905T130000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.501050,20190905T130000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.502050,20190905T140000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.502050,20190905T140000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.502050,20190905T140000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.504519,20190905T150000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.504519,20190905T150000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.504519,20190905T150000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.505516,20190905T160000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.505516,20190905T160000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.505516,20190905T160000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.507492,20190905T170000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.507492,20190905T170000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.507492,20190905T170000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.508509,20190905T180000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.508509,20190905T180000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.508509,20190905T180000,2,inf,0.0,-1.9194985516352574,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.509505,20190905T190000,0,inf,0.0,-5.919498551635115,0.0,0.0,0.0,0.0,0.0
42,2019-09-05 20:41:27.509505,20190905T190000,1,0,0.0,-5.919498551635258,0.0,0.0,0.0,0.0,0.0
