E,H,C,timestamp
1834.129096,3649.995787,50.39187439,734110.1146
1799.41542,3641.533442,50.39530808,734110.125
1793.597537,3674.175451,50.39874177,734110.1354
1839.509613,3706.817459,50.40217546,734110.1458
1833.945778,3739.459468,50.40560915,734110.1563
1827.722582,3772.101476,50.40904285,734110.1667
1815.293644,3923.561707,50.41247654,734110.1771
1840.873683,4075.021936,50.41591023,734110.1875
1841.455471,4226.482165,50.41934392,734110.1979
1844.170484,4377.942395,50.42277761,734110.2083
1836.607236,4747.958193,50.4262113,734110.2188
1840.291895,5117.97399,50.429645,734110.2292
1835.24973,5487.989791,50.43307869,734110.2396
1839.322248,5858.005588,50.43651238,734110.25
1844.170484,6005.209546,50.43994607,734110.2604
1846.691566,6152.413506,50.44337976,734110.2708
1834.861871,6299.617465,50.44681345,734110.2813
1845.52799,6446.821423,50.45024715,734110.2917
1839.322248,6302.191252,50.45368084,734110.3021
1843.200836,6157.561083,50.45711453,734110.3125
1838.54653,6012.930914,50.46054822,734110.3229
1838.740459,5868.300743,50.46398191,734110.3333
1857.522525,5622.900399,50.4674156,734110.3438
1807.956206,5377.500056,50.4708493,734110.3542
1758.389887,5132.09971,50.47428299,734110.3646
1756.117034,4886.699367,50.47771668,734110.375
1765.055242,4634.56293,50.48115037,734110.3854
1826.219939,4382.426489,50.48458406,734110.3958
1790.492668,4130.290052,50.48801775,734110.4063
1754.765397,3878.153614,50.49145145,734110.4167
1719.038126,3887.129731,50.49488514,734110.4271
1734.392683,3896.105847,50.49831883,734110.4375
1739.306855,3905.081964,50.50175252,734110.4479
1745.303929,3914.05808,50.50518621,734110.4583
1747.904134,3977.679517,50.5086199,734110.4688
1671.16512,4041.300954,50.5120536,734110.4792
1694.183768,4104.922392,50.51548729,734110.4896
1724.213917,4168.543829,50.51892098,734110.5
1747.78667,4096.47264,50.52235467,734110.5104
1765.624311,4024.401451,50.52578836,734110.5208
1810.32618,3952.330262,50.52922205,734110.5313
1855.028048,3880.259073,50.53265575,734110.5417
1899.729916,3799.721928,50.53608944,734110.5521
1944.431785,3719.184784,50.53952313,734110.5625
1989.133653,3638.64764,50.54295682,734110.5729
2033.835522,3558.110495,50.54639051,734110.5833
2077.347656,3622.882589,50.5498242,734110.5938
2120.85979,3687.654684,50.5532579,734110.6042
2164.371924,3752.42678,50.55669159,734110.6146
2165.181773,3817.198874,50.56012528,734110.625
2165.991623,3874.914406,50.56355897,734110.6354
2166.801472,3932.629939,50.56699266,734110.6458
2149.597771,3990.345471,50.57042635,734110.6563
2132.39407,4048.061003,50.57386005,734110.6667
2146.531237,4083.098204,50.57729374,734110.6771
