E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2019-09-10 00:15:59.622834,20190909T170000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.622834,20190909T170000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.622834,20190909T170000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.622834,20190909T170000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.624810,20190909T180000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.624810,20190909T180000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.624810,20190909T180000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.624810,20190909T180000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.626804,20190909T190000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.626804,20190909T190000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.626804,20190909T190000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.626804,20190909T190000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.628799,20190909T200000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.628799,20190909T200000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.628799,20190909T200000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.629803,20190909T200000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.631791,20190909T210000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.631791,20190909T210000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.631791,20190909T210000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.631791,20190909T210000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.633786,20190909T220000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.633786,20190909T220000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.633786,20190909T220000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.633786,20190909T220000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.634782,20190909T230000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.634782,20190909T230000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.634782,20190909T230000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.635780,20190909T230000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.637794,20190910T000000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.637794,20190910T000000,1,0,-6.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.637794,20190910T000000,2,inf,-2.2104977788562223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.637794,20190910T000000,3,0.059375402418075186,-4.210497778856223,0.0,0.0,0.0,0.0,0.0,0.0
42,2019-09-10 00:15:59.639789,20190910T010000,0,1.2420158796912112e-05,-6.210079418448004,0.0,0.0,0.0,0.0,0.0,0.0
