E,H,C,timestamp
153.2508282,304.9757395,4.210497779,734110.1146
150.3503238,304.2686675,4.210784681,734110.125
149.86421,306.9960735,4.211071584,734110.1354
153.7003978,309.7234796,4.211358486,734110.1458
153.235511,312.4508857,4.211645389,734110.1563
152.7155313,315.1782917,4.211932291,734110.1667
151.6770303,327.8335655,4.212219193,734110.1771
153.8143728,340.4888391,4.212506096,734110.1875
153.8629842,353.1441127,4.212792998,734110.1979
154.0898373,365.7993864,4.213079901,734110.2083
153.4578894,396.716091,4.213366803,734110.2188
153.7657614,427.6327955,4.213653706,734110.2292
153.3444628,458.5495004,4.213940608,734110.2396
153.6847425,489.466205,4.21422751,734110.25
154.0898373,501.7658455,4.214514413,734110.2604
154.3004866,514.0654861,4.214801315,734110.2708
153.3120553,526.3651266,4.215088218,734110.2813
154.2032638,538.6647671,4.21537512,734110.2917
153.6847425,526.5801797,4.215662023,734110.3021
154.0088183,514.4955924,4.215948925,734110.3125
153.6199273,502.411005,4.216235827,734110.3229
153.6361311,490.3264176,4.21652273,734110.3333
155.2054683,469.8219689,4.216809632,734110.3438
151.06395,449.3175203,4.217096535,734110.3542
146.9224315,428.8130714,4.217383437,734110.3646
146.7325231,408.3086228,4.21767034,734110.375
147.4793559,387.2413392,4.217957242,734110.3854
152.5899779,366.1740553,4.218244144,734110.3958
149.6047824,345.1067717,4.218531047,734110.4063
146.6195869,324.0394881,4.218817949,734110.4167
143.6343915,324.7894883,4.219104852,734110.4271
144.9173429,325.5394886,4.219391754,734110.4375
145.327947,326.2894888,4.219678657,734110.4479
145.8290331,327.0394891,4.219965559,734110.4583
146.0462934,332.3553842,4.220252461,734110.4688
139.6343579,337.6712793,4.220539364,734110.4792
141.5576833,342.9871745,4.220826266,734110.4896
144.0668551,348.3030696,4.221113169,734110.5
146.0364787,342.2811547,4.221400071,734110.5104
147.5269045,336.2592397,4.221686974,734110.5208
151.2619733,330.2373248,4.221973876,734110.5313
154.9970421,324.2154099,4.222260778,734110.5417
158.7321109,317.4861212,4.222547681,734110.5521
162.4671797,310.7568326,4.222834583,734110.5625
166.2022485,304.027544,4.223121486,734110.5729
169.9373173,297.2982553,4.223408388,734110.5833
173.5729778,302.7102937,4.223695291,734110.5938
177.2086382,308.1223321,4.223982193,734110.6042
180.8442986,313.5343706,4.224269095,734110.6146
180.9119656,318.9464091,4.224555998,734110.625
180.9796327,323.7688357,4.2248429,734110.6354
181.0472997,328.5912625,4.225129803,734110.6458
179.6098428,333.4136891,4.225416705,734110.6563
178.172386,338.2361158,4.225703608,734110.6667
179.3536183,341.1636524,4.22599051,734110.6771
179.664139,344.091189,4.226277412,734110.6875
179.9746596,347.0187256,4.226564315,734110.6979
180.2851803,349.9462623,4.226851217,734110.7083
178.3487258,355.1672724,4.22713812,734110.7188
177.1830189,360.3882825,4.227425022,734110.7292
176.4318202,365.6092926,4.227711925,734110.7396
176.9523007,370.8303027,4.227998827,734110.75
177.0032695,372.4778956,4.228285729,734110.7604
174.4946532,374.1254885,4.228572632,734110.7708
172.5086789,375.7730814,4.228859534,734110.7813
172.3304772,377.4206743,4.229146437,734110.7917
172.1515491,375.3214742,4.229433339,734110.8021
171.9427499,373.2222741,4.229720242,734110.8125
171.4405859,371.123074,4.230007144,734110.8229
172.2632172,369.0238739,4.230294046,734110.8333
168.3371731,368.293947,4.230580949,734110.8438
164.4111291,367.5640202,4.230867851,734110.8542
168.2271222,366.8340933,4.231154754,734110.8646
168.8833758,366.1041665,4.231441656,734110.875
174.3629444,347.4715765,4.231728559,734110.8854
179.842513,328.8389862,4.232015461,734110.8958
180.8521916,310.2063962,4.232302363,734110.9063
180.6253385,291.5738062,4.232589266,734110.9167
179.4341339,287.668273,4.232876168,734110.9271
179.7095984,283.7627398,4.233163071,734110.9375
179.4746434,279.8572065,4.233449973,734110.9479
180.0741837,275.9516733,4.233736876,734110.9583
172.5859423,278.1470167,4.234023778,734110.9688
173.2259921,280.3423601,4.23431068,734110.9792
172.4158025,282.5377035,4.234597583,734110.9896
172.4401082,284.733047,4.234884485,734111
172.3833949,287.3228311,4.235171388,734111.0104
177.3741629,289.9126152,4.23545829,734111.0208
172.7147245,292.5023993,4.235745193,734111.0313
168.0552862,295.0921835,4.236032095,734111.0417
163.3958479,299.8427713,4.236318997,734111.0521
158.7364095,304.593359,4.2366059,734111.0625
154.0769712,309.3439468,4.236892802,734111.0729
149.4175329,314.0945346,4.237179705,734111.0833
144.7580945,321.4971722,4.237466607,734111.0938
140.0986562,328.8998099,4.23775351,734111.1042
135.4392178,336.3024476,4.238040412,734111.1146
134.7100472,343.7050853,4.238327314,734111.125
135.0179192,351.9967873,4.238614217,734111.1354
135.4392178,360.2884895,4.238901119,734111.1458
138.6401156,368.5801916,4.239188022,734111.1563
139.4178976,376.8718937,4.239474924,734111.1667
149.8839933,370.4018446,4.239761827,734111.1771
160.3500887,363.9317956,4.240048729,734111.1875
140.6008104,357.4617466,4.240335632,734111.1979
140.7628483,350.9916976,4.240622534,734111.2083
141.184147,387.7013126,4.240909436,734111.2188
143.4928401,424.4109276,4.241196339,734111.2292
147.4760832,461.120543,4.241483241,734111.2396
142.19668,497.830158,4.241770144,734111.25
141.6781586,518.3703826,4.242057046,734111.2604
137.2607599,538.9106075,4.242343949,734111.2708
132.843361,559.4508321,4.242630851,734111.2813
128.4259623,579.9910567,4.242917753,734111.2917
126.6293436,553.2198019,4.243204656,734111.3021
125.4529474,526.4485474,4.243491558,734111.3125
125.3719284,499.677293,4.243778461,734111.3229
119.9799847,472.9060382,4.244065363,734111.3333
126.5646791,453.2567323,4.244352266,734111.3438
126.2968762,433.6074264,4.244639168,734111.3542
127.541062,413.9581203,4.24492607,734111.3646
136.8023487,394.3088144,4.245212973,734111.375
142.1920406,388.593578,4.245499875,734111.3854
143.4083672,382.8783415,4.245786778,734111.3958
143.7499309,377.163105,4.24607368,734111.4063
134.5511527,371.4478686,4.246360583,734111.4167
133.9858996,371.4589943,4.246647485,734111.4271
132.0041758,371.47012,4.246934387,734111.4375
131.6415349,371.4812457,4.24722129,734111.4479
137.1352346,371.4923715,4.247508192,734111.4583
142.6289342,362.0528951,4.247795095,734111.4688
134.3946889,352.6134188,4.248081997,734111.4792
129.7697675,343.1739424,4.2483689,734111.4896
128.6837894,333.7344661,4.248655802,734111.5
138.2488449,332.9325163,4.248942704,734111.5104
133.0851188,332.1305666,4.249229607,734111.5208
137.2699507,331.3286169,4.249516509,734111.5313
140.1708958,330.5266672,4.249803412,734111.5417
150.4404601,331.4836853,4.250090314,734111.5521
152.1764971,332.4407035,4.250377217,734111.5625
153.4230924,333.3977216,4.250664119,734111.5729
159.9330802,334.3547398,4.250951021,734111.5833
159.3752457,337.7139427,4.251237924,734111.5938
156.1254623,341.0731455,4.251524826,734111.6042
155.1664088,344.4323484,4.251811729,734111.6146
158.7885653,347.7915513,4.252098631,734111.625
162.4107218,355.5423314,4.252385534,734111.6354
166.0328783,363.2931115,4.252672436,734111.6458
169.6550348,371.0438915,4.252959338,734111.6563
173.2771913,378.7946716,4.253246241,734111.6667
176.8993478,376.3888371,4.253533143,734111.6771
180.5215043,373.9830027,4.253820046,734111.6875
184.1436608,371.5771683,4.254106948,734111.6979
187.7658173,369.1713339,4.254393851,734111.7083
188.0817172,359.408748,4.254680753,734111.7188
187.0075354,349.6461622,4.254967655,734111.7292
189.3685454,339.8835762,4.255254558,734111.7396
186.1979817,330.1209904,4.25554146,734111.75
184.1328986,328.6389588,4.255828363,734111.7604
182.0678154,327.1569272,4.256115265,734111.7708
177.952861,325.6748957,4.256402168,734111.7813
176.1454873,324.1928641,4.25668907,734111.7917
175.5037998,322.3259944,4.256975972,734111.8021
179.3644743,320.4591247,4.257262875,734111.8125
183.2251487,318.592255,4.257549777,734111.8229
187.0858231,316.7253852,4.25783668,734111.8333
190.9464975,316.607432,4.258123582,734111.8438
190.4750585,316.4894787,4.258410485,734111.8542
197.781381,316.3715255,4.258697387,734111.8646
198.8090186,316.2535722,4.258984289,734111.875
200.586193,309.3720702,4.259271192,734111.8854
201.1652196,302.490568,4.259558094,734111.8958
201.4769956,295.609066,4.259844997,734111.9063
