E,H,C,timestamp
3.574835816,7.114077028,0.098217011,734110.1146
3.507176625,7.097583372,0.098223703,734110.125
3.495837196,7.161204751,0.098230396,734110.1354
3.585322791,7.224826129,0.098237088,734110.1458
3.574478517,7.288447508,0.098243781,734110.1563
3.562349107,7.352068886,0.098250473,734110.1667
3.538124307,7.647274637,0.098257166,734110.1771
3.587981451,7.942480384,0.098263858,734110.1875
3.589115394,8.237686132,0.098270551,734110.1979
3.594407128,8.532891883,0.098277243,734110.2083
3.57966587,9.254076519,0.098283936,734110.2188
3.586847508,9.975261155,0.098290628,734110.2292
3.577020003,10.6964458,0.098297321,734110.2396
3.584957603,11.41763043,0.098304013,734110.25
3.594407128,11.70454044,0.098310706,734110.2604
3.59932088,11.99145044,0.098317398,734110.2708
3.576264041,12.27836044,0.098324091,734110.2813
3.597052994,12.56527045,0.098330783,734110.2917
3.584957603,12.28337692,0.098337476,734110.3021
3.592517223,12.0014834,0.098344168,734110.3125
3.583445679,11.71958988,0.098350861,734110.3229
3.58382366,11.43769635,0.098357553,734110.3333
3.620431116,10.95939527,0.098364246,734110.3438
3.523823167,10.48109418,0.098370938,734110.3542
3.427215217,10.00279309,0.098377631,734110.3646
3.42278528,9.52449201,0.098384323,734110.375
3.440206422,9.033061843,0.098391016,734110.3854
3.559420359,8.541631671,0.098397708,734110.3958
3.489785605,8.050201505,0.098404401,734110.4063
3.420150852,7.558771338,0.098411093,734110.4167
3.350516098,7.576266367,0.098417785,734110.4271
3.38044312,7.593761397,0.098424478,734110.4375
3.390021157,7.611256426,0.09843117,734110.4479
3.401709841,7.628751456,0.098437863,734110.4583
3.406777808,7.752753737,0.098444555,734110.4688
3.257208524,7.876756018,0.098451248,734110.4792
3.302073353,8.000758301,0.09845794,734110.4896
3.360604048,8.124760582,0.098464633,734110.5
3.406548862,7.98428919,0.098471325,734110.5104
3.441315575,7.843817796,0.098478018,734110.5208
3.528442399,7.703346405,0.09848471,734110.5313
3.61556922,7.562875013,0.098491403,734110.5417
3.702696043,7.405902926,0.098498095,734110.5521
3.789822866,7.248930842,0.098504788,734110.5625
3.876949688,7.091958757,0.09851148,734110.5729
3.96407651,6.934986671,0.098518173,734110.5833
4.048884465,7.061231658,0.098524865,734110.5938
4.133692418,7.187476645,0.098531558,734110.6042
4.218500372,7.313721634,0.09853825,734110.6146
4.22007882,7.439966621,0.098544943,734110.625
4.221657269,7.552457913,0.098551635,734110.6354
4.223235717,7.664949205,0.098558328,734110.6458
4.189704595,7.777440496,0.09856502,734110.6563
4.156173473,7.889931788,0.098571713,734110.6667
4.183727723,7.958221551,0.098578405,734110.6771
4.190971144,8.026511314,0.098585098,734110.6875
4.198214565,8.094801077,0.09859179,734110.6979
4.205457987,8.163090841,0.098598483,734110.7083
4.160286898,8.284879767,0.098605175,734110.7188
4.133094806,8.406668694,0.098611868,734110.7292
4.11557182,8.528457621,0.09861856,734110.7396
4.127712912,8.650246548,0.098625253,734110.75
4.128901845,8.68867945,0.098631945,734110.7604
4.07038411,8.727112353,0.098638638,734110.7708
4.024057886,8.765545256,0.09864533,734110.7813
