E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
41,2019-09-05 21:43:44.270219,20190905T140000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.270219,20190905T140000,1,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.270219,20190905T140000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.279447,20190905T150000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.279570,20190905T150000,1,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.279570,20190905T150000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.288782,20190905T160000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.288782,20190905T160000,1,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.288782,20190905T160000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.292467,20190905T170000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.292467,20190905T170000,1,inf,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.292467,20190905T170000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.300319,20190905T180000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.300319,20190905T180000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.300319,20190905T180000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.305325,20190905T190000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.306326,20190905T190000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.306326,20190905T190000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.311310,20190905T200000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.311310,20190905T200000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.311310,20190905T200000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.316297,20190905T210000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.316297,20190905T210000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.316297,20190905T210000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.321313,20190905T220000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.321313,20190905T220000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.322312,20190905T220000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.327296,20190905T230000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.327296,20190905T230000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.327296,20190905T230000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.332284,20190906T000000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.332284,20190906T000000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.332284,20190906T000000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.338241,20190906T010000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.338241,20190906T010000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.338241,20190906T010000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.343255,20190906T020000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.343255,20190906T020000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.343255,20190906T020000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.349212,20190906T030000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.349212,20190906T030000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.349212,20190906T030000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.354227,20190906T040000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.354227,20190906T040000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.355222,20190906T040000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.360203,20190906T050000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.360203,20190906T050000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.360203,20190906T050000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.366165,20190906T060000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.366165,20190906T060000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.366165,20190906T060000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.372177,20190906T070000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.372177,20190906T070000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.372177,20190906T070000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.377164,20190906T080000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.377164,20190906T080000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.377164,20190906T080000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.383154,20190906T090000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.383154,20190906T090000,1,inf,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.383154,20190906T090000,2,0.0,0.0,-10002,0.0,0.0,0.0,0.0,0.0
41,2019-09-05 21:43:44.388136,20190906T100000,0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
